Año, País,  PIB, PIB PERCAPITA, emisiones de co2, emisiones de co2 percapita, tasa natalidad, tasa mortalidad, población
;Ecuador;75.92;101726;6347;45105;2.84;20.65;5.1;16027000
;El salvador;72.18;22593;3530;6916;1.1;18.88;6.94;6401000
;Guatemala;72.94;58722;3688;17972;1.13;25.99;4.88;15924000
;Haití;62.07;8775;832;3012;0.28;26;9.04;10549008
;Honduras;74.28;19757;2243;9489;1.08;22.79;4.43;8809000
;México;74.91;1314569;10981;479263;3.86;18.89;5.67;119713000
;Nicaragua;73.43;11880;1917;4901;0.81;22.23;5.03;6198000
;Panamá;77.58;49921;12757;11440;2.93;20.16;4.99;3913000
;Paraguay;73.47;40277;6050;5801;0.89;21.41;5.41;6657000
;Perú;75.53;202308;6565;52702;1.7;18.87;5.61;30814175
;Rep. Dom;73;67264;6806;22221;2.14;20.55;6.07;9883000
;Uruguay;77.24;57236;16572;6679;1.95;14.19;9.42;3454000
;Venezuela;72.76;212347;7068;177386;5.77;19.39;6.2;30045134
2015;Argentina;76.07;642464;14895;211998;4.88;17.55;7.64;43132000
;Bolivia;70.28;33241;3058;19665;1.83;22.82;6.89;10869730
;Brasil;74.99;1799882;8846;529666;2.57;14.47;6.25;203476000
;Chile;79.65;243909;13572;84573;4.76;13.37;5.92;17971000
;Colombia;76.53;293493;6089;79533;1.65;15.52;5.41;48203000
;Costa Rica;79.57;55410;11423;7682;1.6;14.76;4.86;4851000
;Cuba;78.56;87133;7694;30994;2.7;10.82;8.5;11324781
;Ecuador;76.14;99290;6099;44085;2.73;20.43;5.1;16279000
;El salvador;72.41;23438;3628;7404;1.17;18.73;6.96;6460000
;Guatemala;73.25;63767;3924;16884;1.04;25.63;4.83;16252000
;Haití;62.49;8724;816;3451;0.32;25.58;8.89;10695542
;Honduras;74.5;20980;2341;9974;1.11;22.43;4.42;8961000
;México;74.9;1170567;9674;487734;3.87;18.57;5.76;121006000
;Nicaragua;73.65;12757;2037;5528;0.91;21.86;5.03;6263000
;Panamá;77.78;54092;13607;11532;2.91;19.86;5;3975000
;Paraguay;73.66;36164;5353;6350;0.96;21.2;5.42;6756000
;Perú;75.79;191316;6141;53704;1.71;18.56;5.64;31151643
;Rep. Dom;73.24;71254;7140;23443;2.23;20.32;6.08;9980000
;Uruguay;77.37;53275;15366;6742;1.96;14.13;9.44;3467000
;Venezuela;72.58;323595;10757;158539;5.09;19;6.41;30081829
2016;Argentina;76.22;556774;12773;213708;4.87;17.38;7.63;43590000
;Bolivia;70.63;34189;3099;21647;1.99;22.43;6.83;11031813
;Brasil;75.23;1795365;8751;495171;2.38;14.31;6.31;205157000
;Chile;79.78;250268;13776;89164;4.98;13.03;5.99;18167000
;Colombia;76.73;282720;5800;88419;1.82;15.31;5.45;48748000
;Costa Rica;79.74;57828;11779;8464;1.74;14.51;4.93;4909000
;Cuba;78.61;91370;8061;27027;2.36;10.61;8.67;11335109
;Ecuador;76.37;99938;6046;43336;2.64;20.21;5.1;16529000
;El salvador;72.64;24154;3704;7710;1.22;18.59;6.98;6521000
;Guatemala;73.54;68663;4141;18175;1.1;25.27;4.79;16582000
;Haití;62.9;7976;736;3572;0.33;25.16;8.76;10839970
;Honduras;74.7;21718;2383;10002;1.1;22.13;4.42;9115000
;México;74.92;1077906;8816;496440;3.89;18.25;5.85;122273000
;Nicaragua;73.86;13286;2100;6144;1;21.47;5.04;6328000
;Panamá;77.96;57958;14356;11212;2.78;19.56;5.02;4037000
;Paraguay;73.84;36054;5260;7199;1.07;20.99;5.44;6855000
;Perú;76.04;194387;6173;57974;1.82;18.26;5.67;31488625
;Rep. Dom;73.47;75777;7521;24849;2.33;20.07;6.1;10075000
;Uruguay;77.5;52687;15387;6649;1.93;14.06;9.45;3424132
;Venezuela;72.41;279249;9356;145804;4.62;18.61;6.62;29846179
2017;Argentina;76.37;642928;14588;213709;4.83;17.21;7.62;44072000
;Bolivia;70.95;37782;3376;22224;2.01;22.08;6.8;11192854
;Brasil;75.46;2052807;9877;506897;2.42;14.13;6.38;207833831
;Chile;79.91;277674;15075;88801;4.92;12.71;6.08;18419000
;Colombia;76.93;311796;6325;86233;1.76;15.1;5.5;49292000
